( 0 , 12.06 )
( 11.2 , 0.36 )
( 10.14 , 0.4 )
( 1.33 , 12.07 )
( 1.74 , 12.06 )
( 2.27 , 11.58 )
( 2.31 , 11.4 )
( 2.42 , 11.13 )
( 2.54 , 10.86 )
( 2.67 , 10.48 )
( 2.83 , 9.95 )
( 3.03 , 9.15 )
( 3.19 , 8.5 )
( 3.27 , 8.07 )
( 7.63 , 0.5 )
( 6.15 , 0.64 )
( 5.69 , 0.72 )
( 5.42 , 0.78 )
( 4.93 , 0.96 )
( 4.73 , 1.1 )
( 4.57 , 1.29 )
( 4.35 , 2.16 )
( 4.29 , 2.48 )
( 4.19 , 3.13 )
( 4.11 , 3.63 )
( 4.07 , 3.89 )
( 3.86 , 5.1 )
( 3.81 , 5.37 )
( 3.8 , 5.53 )
( 3.68 , 6.18 )
( 3.56 , 6.86 )
( 3.45 , 7.39 )
( 3.94 , 4.78 )
