( 1.53 , 12.02 )
( 1.78 , 12.01 )
( 1.97 , 11.83 )
( 2.14 , 11.54 )
( 2.24 , 11.29 )
( 2.31 , 11.05 )
( 2.36 , 10.88 )
( 2.45 , 10.54 )
( 2.55 , 10.13 )
( 2.63 , 9.78 )
( 2.7 , 9.38 )
( 2.77 , 9.04 )
( 2.81 , 8.86 )
( 2.87 , 8.57 )
( 2.91 , 8.19 )
( 2.98 , 7.81 )
( 3 , 7.67 )
( 3.06 , 7.27 )
( 3.11 , 6.98 )
( 3.17 , 6.55 )
( 3.22 , 6.14 )
( 3.3 , 5.64 )
( 3.4 , 4.99 )
( 3.43 , 4.57 )
( 3.51 , 4.11 )
( 3.61 , 3.83 )
( 3.59 , 3.46 )
( 3.64 , 2.94 )
( 3.69 , 2.6 )
( 3.74 , 2.08 )
( 3.78 , 1.7 )
( 3.85 , 1.22 )
( 3.94 , 0.99 )
( 4.1 , 0.8 )
( 4.88 , 0.54 )
( 5.86 , 0.41 )
( 6.3 , 0.38 )
